Pulsar,P0 secs,W50 ms,S1400 mJy,SW50 mJy,RMS mJy,t5sigma,HI peak T K,Tnoise HI+70 K,tau_5sigma HI,Ton hrs,V_trans km/s,DM,PX mas,DIST kpc
B0355+54,0.156384121559,2.000,23.00,1798.4,,,110.3,180.3,0.091,,65.116,57.142,0.910,1.099
B0833-45,0.089328385024,1.700,1050.00,55173.4,,,81.2,151.2,0.002,,78.529,67.771,3.500,0.286
B0835-41,0.751625422547,4.400,35.00,5978.8,,,113.1,183.1,0.041,,121.10*,147.187,,1.500*
B1706-16,0.653060721387,8.900,15.00,1100.7,,,59.6,129.6,0.104,,125.34*,24.891,,0.562*
B1737-30,0.606886624250,3.000,8.90,1800.4,,,119.3,189.3,0.154,,,151.897,,0.400*
B1742-30,0.367437527135,4.700,21.00,1641.7,,,117.9,187.9,0.104,,46.78*,88.373,,0.200*
B1749-28,0.562566719458,6.600,48.00,4091.4,,,116.2,186.2,0.043,,6.07*,50.323,,0.200*
